ID,DIFF
1,0
2,0
3,0
4,1
5,1
6,0
7,1
8,0
9,1
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,0
36,0
37,0
38,1
39,0
40,1
41,1
42,0
43,0
44,0
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,1
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,0
64,1
65,0
66,0
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,1
82,1
83,1
84,1
85,1
86,0
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,0
119,0
